tweet_id,retweet_count,favorite_count
892420643555336193,7461,35328
892177421306343426,5536,30580
891815181378084864,3661,23017
891689557279858688,7625,38606
891327558926688256,8227,36876
891087950875897856,2752,18603
890971913173991426,1783,10806
890729181411237888,16685,59494
890609185150312448,3808,25612
890240255349198849,6473,29202
890006608113172480,6482,28175
889880896479866881,4402,25635
889665388333682689,8847,43999
889638837579907072,3958,24747
889531135344209921,1994,13926
889278841981685760,4707,23088
888917238123831296,3966,26700
888804989199671297,3738,23438
888554962724278272,3059,18081
888078434458587136,3069,19968
887705289381826560,4775,27779
887517139158093824,10413,42521
887473957103951883,15897,62930
887343217045368832,9314,30872
887101392804085760,5272,28117
886983233522544640,6762,31921
886736880519319552,2813,10965
886680336477933568,3956,20634
886366144734445568,2798,19377
886267009285017600,4,110
886258384151887873,5594,25648
886054160059072513,96,0
885984800019947520,5944,29873
885528943205470208,5652,32969
885518971528720385,3296,18790
885311592912609280,16354,0
885167619883638784,3864,20061
884925521741709313,15958,70494
884876753390489601,4935,25502
884562892145688576,4155,22296
884441805382717440,5039,24875
884247878851493888,17952,66398
884162670584377345,2646,18729
883838122936631299,3021,20037
883482846933004288,8732,42021
883360690899218434,3260,20811
883117836046086144,5866,34005
882992080364220416,3428,21916
882762694511734784,4316,25914
882627270321602560,5370,25689
882268110199369728,10258,41102
882045870035918850,4304,26867
881906580714921986,3013,22349
881666595344535552,9446,46472
881633300179243008,7,116
881536004380872706,14168,45377
881268444196462592,4694,21369
880935762899988482,2476,15695
880872448815771648,3389,19540
880465832366813184,5504,26109
880221127280381952,3680,24716
880095782870896641,3857,25352
879862464715927552,3086,20539
879674319642796034,10,290
879492040517615616,2809,21559
879415818425184262,39521,97014
879376492567855104,2774,15463
879130579576475649,6036,0
879050749262655488,4163,20701
879008229531029506,2374,17464
878776093423087618,3629,17790
878604707211726852,6267,27605
878404777348136964,1126,0
878316110768087041,5891,0
878281511006478336,1126,7092
878057613040115712,6036,38708
877736472329191424,16787,72611
877611172832227328,71,0
877556246731214848,3384,20869
877316821321428993,4626,25206
877201837425926144,4938,24912
876838120628539392,2960,19034
876537666061221889,4175,21836
876484053909872640,2098,17292
876120275196170240,4142,25786
875747767867523072,3789,23105
875144289856114688,4369,20208
875097192612077568,5415,25299
875021211251597312,4193,23502
874680097055178752,4129,25632
874434818259525634,12935,0
874296783580663808,3676,24005
874057562936811520,3550,20960
874012996292530176,9092,31488
873580283840344065,3515,22337
873337748698140672,1407,0
873213775632977920,1407,6605
872967104147763200,4830,25142
872820683541237760,3329,13606
872620804844003328,3247,19130
872486979161796608,8113,37651
872122724285648897,7251,31613
871879754684805121,9787,34660
871762521631449091,3126,18685
871515927908634625,3117,18676
871166179821445120,5122,0
871102520638267392,4947,19358
871032628920680449,3418,21063
870804317367881728,5553,31168
870726314365509632,3,112
870656317836468226,2342,11405
870374049280663552,23939,77030
870308999962521604,3738,20334
870063196459192321,7479,33842
869772420881756160,9146,39513
869702957897576449,5674,26182
869596645499047938,2801,14807
869227993411051520,3396,18946
868880397819494401,13008,60627
868639477480148993,1866,0
868622495443632128,4770,24718
868552278524837888,1866,9351
867900495410671616,3785,22512
867774946302451713,6636,31578
867421006826221569,2257,14964
867072653475098625,108,0
867051520902168576,7154,29963
866720684873056260,4350,18635
866686824827068416,3142,17906
866450705531457537,32030,113748
866334964761202691,12935,48725
866094527597207552,7610,0
865718153858494464,5115,23971
865359393868664832,4545,24653
865006731092295680,7039,26159
864873206498414592,7915,30099
864279568663928832,2736,13630
864197398364647424,8035,27944
863907417377173506,3781,19253
863553081350529029,3827,14267
863471782782697472,2210,0
863432100342583297,4786,22228
863427515083354112,85,2055
863079547188785154,1012,8202
863062471531167744,2210,7881
862831371563274240,4708,17947
862722525377298433,3243,16006
862457590147678208,4498,19098
862096992088072192,21190,69338
861383897657036800,9814,33802
861288531465048066,3796,16090
861005113778896900,3503,15663
860981674716409858,1965,0
860924035999428608,726,0
860563773140209665,1965,7033
860524505164394496,4862,22191
860276583193509888,3241,17289
860184849394610176,5391,15660
860177593139703809,28462,0
859924526012018688,3793,18436
859851578198683649,3248,14530
859607811541651456,1426,17546
859196978902773760,27806,84360
859074603037188101,12608,31814
858860390427611136,7497,0
858843525470990336,3209,14715
858471635011153920,4503,20337
858107933456039936,2675,14865
857989990357356544,2397,15166
857746408056729600,9874,32312
857393404942143489,1525,5567
857263160327368704,4205,18996
857214891891077121,17,213
857062103051644929,154,0
857029823797047296,3696,17830
856543823941562368,2685,15510
856526610513747968,1755,11262
856330835276025856,623,0
856288084350160898,15,487
856282028240666624,5860,26291
855862651834028034,22,315
855860136149123072,909,4646
855857698524602368,1969,11295
855851453814013952,16913,43544
855818117272018944,5082,25367
855459453768019968,7701,28331
855245323840757760,5566,0
855138241867124737,40,0
854732716440526848,5687,21657
854482394044301312,6412,27829
854365224396361728,4408,18010
854120357044912130,7000,30496
854010172552949760,2963,15506
853760880890318849,5429,27293
853639147608842240,9416,33093
853299958564483072,3351,14819
852936405516943360,1872,0
852912242202992640,1702,8626
852672615818899456,2042,14295
852553447878664193,3279,15592
852311364735569921,9406,31770
852226086759018497,6496,19168
852189679701164033,1504,11013
851861385021730816,19,0
851591660324737024,3290,15644
851464819735769094,6704,23299
851224888060895234,5464,19901
850753642995093505,8613,29556
850380195714523136,2472,12622
850333567704068097,311,3331
850145622816686080,3605,15727
850019790995546112,4634,19661
849776966551130114,7210,29257
849668094696017920,4726,0
849412302885593088,2995,15312
849336543269576704,1800,11015
849051919805034497,8058,40817
848690551926992896,4134,24318
848324959059550208,4406,23875
848213670039564288,685,7890
848212111729840128,2883,15766
847978865427394560,3116,0
847971574464610304,419,0
847962785489326080,4845,22737
847842811428974592,1261,5232
847617282490613760,392,6761
847606175596138505,3274,18164
847251039262605312,4135,19841
847157206088847362,5607,19218
847116187444137987,3049,20791
846874817362120707,3753,19437
846514051647705089,11048,43122
846505985330044928,2935,13665
846153765933735936,8656,30555
846139713627017216,9651,30081
846042936437604353,2742,15494
845812042753855489,8323,28297
845677943972139009,4620,24435
845397057150107648,1712,7378
845306882940190720,5162,22633
845098359547420673,7351,0
844979544864018432,2445,13243
844973813909606400,3045,14601
844580511645339650,2987,15988
844223788422217728,2096,13286
843981021012017153,2844,14756
843856843873095681,4431,20842
843604394117681152,2629,16422
843235543001513987,5778,20915
842846295480000512,3496,14876
842765311967449089,1215,6543
842535590457499648,3380,17642
842163532590374912,5566,23787
842115215311396866,2905,13599
841833993020538882,14471,0
841680585030541313,7555,25121
841439858740625411,3541,12304
841320156043304961,5322,19296
841314665196081154,4478,15444
841077006473256960,5122,22280
840761248237133825,1702,0
840728873075638272,15483,0
840698636975636481,2,171
840696689258311684,941,11975
840632337062862849,1702,8769
840370681858686976,4399,16034
840268004936019968,5540,18786
839990271299457024,2199,13111
839549326359670784,7497,26799
839290600511926273,139,0
839239871831150596,6307,26463
838952994649550848,3867,19207
838921590096166913,1977,10869
838916489579200512,33,0
838831947270979586,10669,0
838561493054533637,1287,10728
838476387338051585,4606,21965
838201503651401729,9723,0
838150277551247360,323,1629
838085839343206401,1,138
838083903487373313,3017,17234
837820167694528512,7610,33306
837482249356513284,428,3773
837471256429613056,2192,12519
837110210464448512,2298,15700
836989968035819520,2239,12489
836753516572119041,4514,18942
836677758902222849,2163,12360
836648853927522308,535,0
836397794269200385,26706,0
836380477523124226,2906,14486
836260088725786625,4188,20892
836001077879255040,4145,18691
835685285446955009,7901,0
835574547218894849,3516,17450
835536468978302976,1642,0
835309094223372289,20362,0
835297930240217089,2914,16166
835264098648616962,1642,7576
835246439529840640,71,2060
835172783151792128,5606,25664
835152434251116546,2916,21907
834931633769889797,1584,10587
834786237630337024,5373,21004
834574053763584002,2456,13390
834477809192075265,10363,0
834458053273591808,1631,9448
834209720923721728,4623,20161
834167344700198914,3565,15529
834089966724603904,2079,9844
834086379323871233,2151,12820
833863086058651648,2344,13190
833826103416520705,3679,17750
833732339549220864,216,0
833722901757046785,3149,20453
833479644947025920,1983,14599
833124694597443584,4726,19844
832998151111966721,2136,13013
832769181346996225,38,0
832757312314028032,3522,16571
832682457690300417,2842,11661
832645525019123713,521,2879
832636094638288896,2713,15590
832397543355072512,2157,11773
832369877331693569,3116,16871
832273440279240704,2273,11135
832215909146226688,6065,0
832215726631055365,9104,0
832088576586297345,2,60
832040443403784192,9357,0
832032802820481025,4552,17560
831939777352105988,5987,23559
831926988323639298,34,330
831911600680497154,6341,27100
831670449226514432,1770,10255
831650051525054464,1872,6995
831552930092285952,2265,8816
